10398001,1,980001,10,449.00,"2011-05-24","2011-05-24","Poney Express"
10398002,2,980005,8,359.99,"2011-05-24","2011-05-24","Poney Express"
10398003,2,980025,25,275.00,"2011-05-24","2011-05-24","Poney Express"
10398004,3,980030,10,275.00,"2011-05-24","2011-05-24","Poney Express"
10398005,1,980032,100,459.00,"2011-05-24","2011-05-24","Poney Express"
10398006,36,986710,60,55.00,"2011-05-24","2011-05-24","Slow Snail"
10398007,36,985510,120,65.00,"2011-05-24","2011-05-24","Slow Snail"
10398008,106,988765,500,265.00,"2011-05-24","2011-05-24","Slow Snail"
10398009,149,986420,1000,700.00,"2011-05-24","2011-05-24","Western Fast"
10398010,863,986712,100,25.00,"2011-05-24","2011-05-24","Slow Snail"
20198001,777,971266,75,105.00,"2011-05-24","2011-05-24","We deliver"
20598100,753,980601,100,200.99,"2011-05-24","2011-05-24","We deliver"
20598101,722,980500,250,2500.00,"2011-05-24","2011-05-24","Coastal Freight"
30198001,409,980001,50,2000.99,"2011-05-24","2011-05-24","Southern Delivery Service"
30298004,410,980031,100,700.00,"2011-05-24","2011-05-24","FR Express"
